Step,Time (seconds)
start_to_clear_console,0.06428194046020508
clear_console_to_audio_buffer_start,9.302699089050293
audio_buffer_start_to_wave_write,0.0015649795532226562
wave_write_to_librosa_load,5.731858015060425
transcription_time,2.679713249206543
text_detected_time,0.00497889518737793
librosa_load_to_process_audio,2.6868348121643066
audio_buffer_start_to_wave_write,0.0018658638000488281
wave_write_to_librosa_load,0.008205890655517578
transcription_time,2.695336103439331
text_detected_time,0.001641988754272461
librosa_load_to_process_audio,2.6978302001953125
audio_buffer_start_to_wave_write,0.0009510517120361328
wave_write_to_librosa_load,0.01125478744506836
transcription_time,2.8991382122039795
text_detected_time,0.00167083740234375
librosa_load_to_process_audio,2.9015941619873047
audio_buffer_start_to_wave_write,0.0011031627655029297
wave_write_to_librosa_load,0.008500099182128906
transcription_time,3.1072309017181396
text_detected_time,0.0013580322265625
librosa_load_to_process_audio,3.109433889389038
audio_buffer_start_to_wave_write,0.001074075698852539
wave_write_to_librosa_load,0.009157896041870117
transcription_time,2.7925989627838135
text_detected_time,0.0033011436462402344
librosa_load_to_process_audio,2.814239978790283
audio_buffer_start_to_wave_write,0.03379106521606445
wave_write_to_librosa_load,0.07103800773620605
transcription_time,4.658910274505615
text_detected_time,0.0018012523651123047
librosa_load_to_process_audio,4.661510944366455
audio_buffer_start_to_wave_write,0.0007810592651367188
wave_write_to_librosa_load,0.009765863418579102
transcription_time,2.780912160873413
text_detected_time,0.0016400814056396484
librosa_load_to_process_audio,2.7833118438720703
audio_buffer_start_to_wave_write,0.0007941722869873047
wave_write_to_librosa_load,0.008505105972290039
transcription_time,2.899060010910034
text_detected_time,0.0018711090087890625
librosa_load_to_process_audio,2.9025118350982666
audio_buffer_start_to_wave_write,0.0011157989501953125
wave_write_to_librosa_load,0.01467585563659668
transcription_time,5.901638984680176
text_detected_time,0.0016021728515625
librosa_load_to_process_audio,5.904023170471191
audio_buffer_start_to_wave_write,0.0007419586181640625
wave_write_to_librosa_load,0.007539033889770508
transcription_time,3.212939977645874
text_detected_time,0.02634906768798828
librosa_load_to_process_audio,3.258694887161255
audio_buffer_start_to_wave_write,0.023555755615234375
wave_write_to_librosa_load,0.08343291282653809
transcription_time,4.56901216506958
text_detected_time,0.0035707950592041016
librosa_load_to_process_audio,4.57538628578186
audio_buffer_start_to_wave_write,0.001241922378540039
wave_write_to_librosa_load,0.008507728576660156
transcription_time,2.4028139114379883
text_detected_time,0.004283905029296875
librosa_load_to_process_audio,2.4080300331115723
audio_buffer_start_to_wave_write,0.0011031627655029297
wave_write_to_librosa_load,0.010061025619506836
transcription_time,2.5981812477111816
text_detected_time,0.004087924957275391
librosa_load_to_process_audio,2.603365898132324
audio_buffer_start_to_wave_write,0.0009469985961914062
wave_write_to_librosa_load,0.0067059993743896484
transcription_time,2.6352548599243164
text_detected_time,0.0032618045806884766
librosa_load_to_process_audio,2.639801025390625
audio_buffer_start_to_wave_write,0.0010750293731689453
wave_write_to_librosa_load,0.007218360900878906
transcription_time,2.628170967102051
text_detected_time,0.03476309776306152
librosa_load_to_process_audio,2.698542833328247
audio_buffer_start_to_wave_write,0.19667315483093262
wave_write_to_librosa_load,0.04252314567565918
transcription_time,4.585154056549072
text_detected_time,0.0032923221588134766
librosa_load_to_process_audio,4.589550733566284
audio_buffer_start_to_wave_write,0.0008020401000976562
wave_write_to_librosa_load,0.008428812026977539
transcription_time,4.089136123657227
text_detected_time,0.0029969215393066406
librosa_load_to_process_audio,4.093806743621826
audio_buffer_start_to_wave_write,0.0009627342224121094
wave_write_to_librosa_load,0.014179229736328125
transcription_time,3.7352540493011475
text_detected_time,0.0037841796875
librosa_load_to_process_audio,3.740429162979126
audio_buffer_start_to_wave_write,0.0013132095336914062
wave_write_to_librosa_load,0.007401943206787109
transcription_time,3.2232961654663086
text_detected_time,0.0033948421478271484
librosa_load_to_process_audio,3.2279372215270996
audio_buffer_start_to_wave_write,0.0007610321044921875
wave_write_to_librosa_load,0.010947227478027344
transcription_time,2.8234848976135254
text_detected_time,0.00426173210144043
librosa_load_to_process_audio,2.8569068908691406
audio_buffer_start_to_wave_write,0.03420901298522949
wave_write_to_librosa_load,0.07495617866516113
transcription_time,4.351235866546631
text_detected_time,0.003596067428588867
librosa_load_to_process_audio,4.355997085571289
audio_buffer_start_to_wave_write,0.0009329319000244141
wave_write_to_librosa_load,0.014027833938598633
transcription_time,2.956062078475952
text_detected_time,0.0033049583435058594
librosa_load_to_process_audio,2.960474967956543
audio_buffer_start_to_wave_write,0.001013040542602539
wave_write_to_librosa_load,0.00877070426940918
transcription_time,2.8293297290802
text_detected_time,0.003793001174926758
librosa_load_to_process_audio,2.8339710235595703
audio_buffer_start_to_wave_write,0.0008368492126464844
wave_write_to_librosa_load,0.007519960403442383
transcription_time,2.9043099880218506
text_detected_time,0.0026140213012695312
librosa_load_to_process_audio,2.9077560901641846
audio_buffer_start_to_wave_write,0.0024840831756591797
wave_write_to_librosa_load,0.008626937866210938
transcription_time,2.915719985961914
text_detected_time,0.0032160282135009766
librosa_load_to_process_audio,2.9534871578216553
audio_buffer_start_to_wave_write,0.03359699249267578
wave_write_to_librosa_load,0.05435609817504883
